,id_dite,jmeno,pohlavi,datum_narozeni,spadova_skolka,skolka_sourozence,bydliste_brno,prodlouzena_dochazka
0,0,Jan Novák,M,2016-10-22,119,,True,False
1,1,Jan Svoboda,M,2020-08-17,131,,True,False
2,2,Jan Novotný,M,2020-11-13,23,,True,False
3,3,Jan Dvořák,M,2019-02-15,40,,True,False
4,4,Jan Černý,M,2021-05-01,9,,True,False
5,5,Jan Procházka,M,2019-01-23,83,,True,False
6,6,Jan Kovařík,M,2020-01-06,127,,True,False
7,7,Jan Veselý,M,2019-05-20,21,,False,False
8,8,Jan Horák,M,2018-10-15,73,,True,False
9,9,Jan Němec,M,2019-06-02,27,,True,False
10,10,Jan Pospíšil,M,2021-07-27,0,,True,False
11,11,Jan Marek,M,2019-01-11,96,,True,False
12,12,Jan Urban,M,2018-02-18,50,,True,False
13,13,Jan Soukup,M,2019-10-19,3,,False,False
14,14,Jan Hájek,M,2020-11-28,63,,True,False
15,15,Jan Fiala,M,2017-03-12,124,,True,False
16,16,Jan Král,M,2017-07-24,33,102.0,True,False
17,17,Jan Růžička,M,2021-08-30,69,,False,False
18,18,Jan Beneš,M,2020-08-12,100,,True,False
19,19,Jan Bílý,M,2019-03-10,66,,True,True
20,20,Jan Šimek,M,2021-04-02,19,,True,False
21,21,Jan Svatoš,M,2021-07-30,94,,True,False
22,22,Jan Mareš,M,2018-12-14,34,,True,False
23,23,Jan Mach,M,2019-12-03,58,,True,False
24,24,Jan Vávra,M,2017-07-08,50,,True,False
25,25,Jan Tomáš,M,2021-03-23,107,,True,False
26,26,Jan Toman,M,2020-03-26,61,,True,False
27,27,Jan Konečný,M,2016-08-03,125,18.0,True,False
28,28,Jan Vlček,M,2018-12-23,18,53.0,True,False
29,29,Jan Kratochvíl,M,2021-04-11,68,,True,False
30,30,Jan Kadlec,M,2020-09-04,72,,True,False
31,31,Jan Kříž,M,2016-09-01,115,,True,False
32,32,Jan Horváth,M,2018-05-10,8,,True,False
33,33,Jan Polák,M,2017-09-25,79,,True,False
34,34,Jan Janda,M,2021-03-30,123,,True,False
35,35,Jan Dušek,M,2021-03-29,115,,True,False
36,36,Jan Macháček,M,2017-07-13,33,,True,False
37,37,Jan Navrátil,M,2019-01-04,19,,True,False
38,38,Jan Staněk,M,2016-10-27,127,98.0,True,False
39,39,Jan Pekař,M,2021-08-05,18,,True,True
40,40,Petr Novák,M,2016-09-24,106,,True,False
41,41,Petr Svoboda,M,2017-10-09,117,,True,False
42,42,Petr Novotný,M,2018-10-03,131,,True,False
43,43,Petr Dvořák,M,2021-07-16,58,,True,False
44,44,Petr Černý,M,2017-12-18,124,,True,False
45,45,Petr Procházka,M,2017-11-11,51,,True,False
46,46,Petr Kovařík,M,2017-12-18,113,,True,False
47,47,Petr Veselý,M,2020-04-04,50,,True,False
48,48,Petr Horák,M,2016-07-15,51,,True,False
49,49,Petr Němec,M,2016-07-02,81,,True,False
50,50,Petr Pospíšil,M,2016-12-20,10,,True,False
51,51,Petr Marek,M,2020-09-18,28,,True,False
52,52,Petr Urban,M,2017-01-02,105,,True,False
53,53,Petr Soukup,M,2017-08-25,115,,True,False
54,54,Petr Hájek,M,2016-10-08,10,,True,False
55,55,Petr Fiala,M,2018-01-09,4,,True,False
56,56,Petr Král,M,2021-07-11,68,,True,False
57,57,Petr Růžička,M,2021-01-06,114,,True,False
58,58,Petr Beneš,M,2020-07-21,51,,True,False
59,59,Petr Bílý,M,2021-08-08,120,,True,False
60,60,Petr Šimek,M,2017-04-19,88,,False,False
61,61,Petr Svatoš,M,2020-10-08,100,,True,False
62,62,Petr Mareš,M,2016-08-28,99,,True,False
63,63,Petr Mach,M,2016-09-08,1,,False,False
64,64,Petr Vávra,M,2019-09-28,118,,True,False
65,65,Petr Tomáš,M,2017-01-28,31,,True,False
66,66,Petr Toman,M,2019-12-05,82,,True,False
67,67,Petr Konečný,M,2021-06-15,112,,True,False
68,68,Petr Vlček,M,2016-07-04,7,9.0,True,False
69,69,Petr Kratochvíl,M,2019-10-14,35,,True,False
70,70,Petr Kadlec,M,2018-10-04,112,,True,False
71,71,Petr Kříž,M,2021-03-07,56,,True,False
72,72,Petr Horváth,M,2017-07-30,42,,True,False
73,73,Petr Polák,M,2020-03-23,79,,True,True
74,74,Petr Janda,M,2016-08-12,53,,True,False
75,75,Petr Dušek,M,2020-02-18,127,,True,False
76,76,Petr Macháček,M,2021-08-20,96,,True,False
77,77,Petr Navrátil,M,2018-08-12,31,,True,False
78,78,Petr Staněk,M,2016-06-11,117,,True,False
79,79,Petr Pekař,M,2018-11-25,32,,True,False
80,80,Tomáš Novák,M,2016-08-12,121,,True,False
81,81,Tomáš Svoboda,M,2018-03-14,7,,True,False
82,82,Tomáš Novotný,M,2021-07-15,9,,True,False
83,83,Tomáš Dvořák,M,2020-01-27,82,,True,False
84,84,Tomáš Černý,M,2021-01-28,127,,True,False
85,85,Tomáš Procházka,M,2020-04-04,50,,True,False
86,86,Tomáš Kovařík,M,2019-05-07,40,,True,False
87,87,Tomáš Veselý,M,2018-01-31,55,,True,True
88,88,Tomáš Horák,M,2018-05-17,34,,True,False
89,89,Tomáš Němec,M,2018-04-13,80,,True,False
90,90,Tomáš Pospíšil,M,2016-09-08,24,,True,False
91,91,Tomáš Marek,M,2020-03-17,99,,True,False
92,92,Tomáš Urban,M,2020-12-15,51,,True,False
93,93,Tomáš Soukup,M,2017-11-02,91,,True,False
94,94,Tomáš Hájek,M,2018-02-08,87,,True,False
95,95,Tomáš Fiala,M,2021-01-25,6,,True,False
96,96,Tomáš Král,M,2020-11-03,48,,True,False
97,97,Tomáš Růžička,M,2020-10-11,72,,True,False
98,98,Tomáš Beneš,M,2017-11-05,118,,True,False
99,99,Tomáš Bílý,M,2018-10-10,90,,True,False
100,100,Tomáš Šimek,M,2018-02-09,10,,True,False
101,101,Tomáš Svatoš,M,2019-08-25,94,43.0,True,False
102,102,Tomáš Mareš,M,2017-03-22,3,,True,False
103,103,Tomáš Mach,M,2016-10-02,103,,True,False
104,104,Tomáš Vávra,M,2017-02-24,66,,True,False
105,105,Tomáš Tomáš,M,2020-10-07,103,,True,False
106,106,Tomáš Toman,M,2019-08-04,110,,True,False
107,107,Tomáš Konečný,M,2020-08-17,18,,True,False
108,108,Tomáš Vlček,M,2021-08-09,91,,True,False
109,109,Tomáš Kratochvíl,M,2017-12-05,76,,True,False
110,110,Tomáš Kadlec,M,2020-08-23,19,,True,False
111,111,Tomáš Kříž,M,2017-09-24,30,,True,False
112,112,Tomáš Horváth,M,2018-03-19,27,,True,False
113,113,Tomáš Polák,M,2018-11-01,12,,True,False
114,114,Tomáš Janda,M,2020-04-04,70,,True,False
115,115,Tomáš Dušek,M,2019-05-02,133,,True,False
116,116,Tomáš Macháček,M,2018-01-18,19,,True,False
117,117,Tomáš Navrátil,M,2020-10-07,98,,True,False
118,118,Tomáš Staněk,M,2018-03-28,14,,True,False
119,119,Tomáš Pekař,M,2018-04-24,79,,True,False
120,120,Jiří Novák,M,2018-07-09,72,,True,False
