,dite_id,jmeno,pohlavi,datum_narozeni,bydliste_brno,spadova_skolka,skolka_sourozence,prodlouzena_dochazka
0,0,Jan Test Novák,M,2017-10-22,True,122,-1,False
1,1,Jan Test Svoboda,M,2019-05-16,True,134,-1,False
2,2,Jan Test Novotný,M,2020-02-28,True,23,-1,False
3,3,Jan Test Dvořák,M,2020-06-10,True,40,-1,False
4,4,Jan Test Černý,M,2019-09-13,True,9,-1,False
5,5,Jan Test Procházka,M,2022-06-30,True,85,-1,False
6,6,Jan Test Kovařík,M,2021-05-09,True,130,-1,False
7,7,Jan Test Veselý,M,2018-12-28,True,21,-1,False
8,8,Jan Test Horák,M,2018-05-31,True,75,-1,False
9,9,Jan Test Němec,M,2018-05-14,True,27,-1,True
10,10,Jan Test Pospíšil,M,2022-04-16,True,0,-1,False
11,11,Jan Test Marek,M,2017-07-23,True,99,-1,False
12,12,Jan Test Urban,M,2022-04-03,True,50,-1,False
13,13,Jan Test Soukup,M,2022-03-05,True,3,-1,False
14,14,Jan Test Hájek,M,2017-06-28,True,64,-1,False
15,15,Jan Test Fiala,M,2022-04-30,True,127,-1,False
16,16,Jan Test Král,M,2019-10-23,True,33,101,False
17,17,Jan Test Růžička,M,2020-06-13,True,0,-1,False
18,18,Jan Test Beneš,M,2022-07-21,True,103,-1,False
19,19,Jan Test Bílý,M,2021-11-04,True,67,86,False
20,20,Jan Test Šimek,M,2021-01-01,True,19,-1,False
21,21,Jan Test Svatoš,M,2019-02-04,True,97,-1,False
22,22,Jan Test Mareš,M,2019-05-16,True,34,-1,False
23,23,Jan Test Mach,M,2019-02-23,True,59,-1,False
24,24,Jan Test Vávra,M,2021-08-07,True,50,-1,False
25,25,Jan Test Tomáš,M,2019-12-16,True,110,-1,False
26,26,Jan Test Toman,M,2022-06-12,False,66,-1,True
27,27,Jan Test Konečný,M,2020-04-21,True,128,-1,False
28,28,Jan Test Vlček,M,2017-06-14,True,32,-1,False
29,29,Jan Test Kratochvíl,M,2018-12-31,True,18,-1,False
30,30,Jan Test Kadlec,M,2017-07-14,True,4,-1,False
31,31,Jan Test Kříž,M,2020-03-01,True,11,-1,False
32,32,Jan Test Horváth,M,2019-09-08,True,33,-1,False
33,33,Jan Test Polák,M,2017-09-01,False,136,-1,False
34,34,Jan Test Janda,M,2022-06-20,True,124,-1,False
35,35,Jan Test Dušek,M,2020-11-30,True,5,-1,False
36,36,Jan Test Macháček,M,2022-04-15,True,83,19,False
37,37,Jan Test Navrátil,M,2019-08-08,True,11,-1,False
38,38,Jan Test Staněk,M,2017-07-14,True,21,-1,False
39,39,Jan Test Pekař,M,2022-03-24,True,109,-1,False
40,40,Jan Test Smetana,M,2019-11-11,True,100,-1,False
41,41,Jan Test Starý,M,2022-04-05,True,29,-1,False
42,42,Jan Test Martínek,M,2020-10-23,True,120,-1,False
43,43,Jan Test Málek,M,2019-08-18,True,134,-1,False
44,44,Jan Test Švadlenka,M,2022-03-04,True,59,-1,False
45,45,Jan Test Mareček,M,2018-04-16,False,127,-1,False
46,46,Jan Test Ronovský,M,2020-12-22,False,51,-1,False
47,47,Jan Test Hajný,M,2017-08-02,True,116,-1,False
48,48,Jan Test Mrázek,M,2020-05-24,True,50,113,False
49,49,Jan Test Weiss,M,2018-02-22,True,51,-1,False
50,50,Petr Test Novák,M,2021-06-07,True,83,-1,False
51,51,Petr Test Svoboda,M,2019-11-18,True,10,-1,False
52,52,Petr Test Novotný,M,2021-02-10,True,28,-1,False
53,53,Petr Test Dvořák,M,2017-06-22,True,108,-1,False
54,54,Petr Test Černý,M,2018-11-23,True,118,-1,False
55,55,Petr Test Procházka,M,2022-06-27,True,10,-1,False
56,56,Petr Test Kovařík,M,2020-09-04,True,4,-1,False
57,57,Petr Test Veselý,M,2020-02-11,True,69,-1,False
58,58,Petr Test Horák,M,2022-05-26,True,117,-1,False
59,59,Petr Test Němec,M,2022-03-24,True,51,-1,False
60,60,Petr Test Pospíšil,M,2021-08-30,True,123,-1,False
61,61,Petr Test Marek,M,2021-05-24,True,91,-1,False
