,Unnamed: 0,jmeno,pohlavi,datum_narozeni,vek,vek_dny_srpen31,body_za_vek,spadova_skolka,skolka_sourozence,bydliste_brno,prioritni_vek,id,mc
0,0,Jan Novák,M,2018-05-15,5,107,2082.14,67,,True,True,67,stred
1,13,Jan Soukup,M,2019-01-29,4,213,2044.26,67,,True,True,67,stred
2,56,Petr Král,M,2018-11-14,4,-76,2040.0,67,,True,True,67,stred
3,282,Lukáš Novotný,M,2018-11-13,4,-75,2040.0,67,,True,True,67,stred
4,398,Marek Staněk,M,2019-04-06,4,146,2042.92,67,,True,True,67,stred
5,412,Adam Urban,M,2017-09-04,5,-5,2080.0,67,,True,True,67,stred
6,547,Václav Konečný,M,2020-10-13,2,-44,1000.0,67,,True,False,67,stred
7,634,Radim Janda,M,2017-09-16,5,-17,2080.0,67,,True,True,67,stred
8,902,Ján Mareš,M,2017-10-10,5,-41,2080.0,67,,True,True,67,stred
9,1142,Miroslav Mareš,M,2016-12-19,6,-111,2120.0,67,,True,True,67,stred
10,1371,Patrik Marek,M,2021-05-25,2,97,1.94,67,,True,False,67,stred
11,1566,Samuel Kovařík,M,2018-07-24,5,37,2080.74,67,,True,True,67,stred
12,1582,Samuel Mareš,M,2019-03-25,4,158,2043.16,67,,True,True,67,stred
13,2089,Lucia Němcová,F,2019-02-09,4,202,2044.04,67,,False,True,67,stred
14,2129,Ludmila Němcová,F,2018-04-12,5,140,2082.8,67,19.0,True,True,67,stred
15,2216,Marta Konečná,F,2021-08-19,2,11,0.22,67,,True,False,67,stred
16,2418,Patricia Tichá,F,2018-11-10,4,-72,2040.0,67,,True,True,67,stred
17,2673,Tereza Křenková,F,2021-06-25,2,66,1.32,67,,True,False,67,stred
18,2706,Veronika Králová,F,2018-12-27,4,-119,2040.0,67,,True,True,67,stred
19,2908,Blanka Zábranská,F,2021-03-27,2,156,3.12,67,,True,False,67,stred
20,3078,Gabriela Kočová,F,2019-01-07,4,235,2044.7,67,,True,True,67,stred
21,3087,Irena Veselá,F,2021-02-05,2,206,4.12,67,,True,False,67,stred
22,1,Jan Svoboda,M,2017-02-20,6,191,2123.82,60,,True,True,60,zidenice
23,11,Jan Marek,M,2018-08-02,5,28,2080.56,60,,True,True,60,zidenice
24,78,Petr Staněk,M,2020-11-06,2,-68,1000.0,60,,True,False,60,zidenice
25,424,Adam Vávra,M,2020-01-08,3,235,2004.7,60,,True,True,60,zidenice
26,435,Adam Dušek,M,2019-08-18,4,12,2040.24,60,,True,True,60,zidenice
27,541,Václav Svatoš,M,2019-11-10,3,-72,2000.0,60,,True,True,60,zidenice
28,1475,Róbert Dušek,M,2019-06-30,4,61,2041.22,60,,True,True,60,zidenice
29,1538,Matúš Beneš,M,2016-11-16,6,-78,2120.0,60,,True,True,60,zidenice
