,dite_id,jmeno,pohlavi,datum_narozeni,spadova_skolka,skolka_sourozence,bydliste_brno,prodlouzena_dochazka
2602,2602,Ivana Test Křížová,F,2019-11-02,90,-1,True,False
2372,2372,Barbora Test Jelínková,F,2019-06-29,-1,-1,False,False
3798,3798,Andrea Test Kučerová,F,2021-05-29,53,-1,True,False
2567,2567,Helena Test Pechová,F,2021-04-20,28,-1,True,False
2163,2163,Josef Test Dvořák,M,2021-03-14,94,-1,True,False
3396,3396,Petra Test Havlíčková,F,2020-04-13,76,-1,True,False
3987,3987,Eliška Test Dvořáková,F,2021-05-30,79,-1,True,False
2312,2312,Anna Test Horáková,F,2021-03-10,46,-1,True,False
200,200,Martin Test Horák,M,2019-02-24,-1,-1,False,False
3058,3058,Marta Test Vlčková,F,2021-07-06,107,-1,True,False
1225,1225,Peter Test Toman,M,2022-03-31,14,-1,True,False
4270,4270,Stanislava Test Mrázková,F,2020-09-29,75,-1,True,False
155,155,Jiří Test Marek,M,2021-08-07,53,-1,True,False
2587,2587,Helena Test Málková,F,2019-10-21,14,-1,True,False
1996,1996,Kamil Test Kratochvíl,M,2020-10-18,122,-1,True,False
3732,3732,Zuzana Test Havlíčková,F,2021-01-02,97,-1,True,False
1626,1626,Patrik Test Švadlenka,M,2021-09-06,28,53,True,False
3726,3726,Zuzana Test Rýdlová,F,2020-06-15,52,-1,True,False
1587,1587,Patrik Test Dvořák,M,2021-03-29,108,18,True,False
2465,2465,Eva Test Kadlecová,F,2022-04-30,123,-1,True,False
2415,2415,Denisa Test Bílá,F,2022-08-25,107,-1,True,False
2820,2820,Klára Test Havlíčková,F,2018-06-07,-1,-1,False,False
3097,3097,Michaela Test Hlaváčková,F,2021-06-01,46,-1,True,False
2785,2785,Klára Test Svobodová,F,2022-01-16,40,-1,True,False
595,595,Ondřej Test Bílý,M,2020-11-06,14,-1,True,False
1925,1925,Vladimír Test Procházka,M,2021-01-02,65,-1,True,False
58,58,Petr Test Pospíšil,M,2021-01-04,123,-1,True,False
363,363,Lukáš Test Vlček,M,2021-02-15,115,-1,True,False
2260,2260,Štěpán Test Černý,M,2020-05-10,92,-1,True,True
2370,2370,Barbora Test Tichá,F,2021-08-08,91,-1,True,False
4418,4418,Miloslava Test Novotná,F,2021-09-21,10,-1,True,False
2793,2793,Klára Test Němcová,F,2019-09-13,3,-1,True,False
418,418,David Test Dušek,M,2019-09-02,72,-1,True,False
3679,3679,Zdeňka Test Benešová,F,2018-05-17,-1,-1,False,False
3478,3478,Simona Test Hájková,F,2020-10-23,38,38,True,True
3129,3129,Monika Test Němcová,F,2020-09-24,65,-1,True,False
3408,3408,Renata Test Nováková,F,2022-01-23,62,-1,True,False
2549,2549,Helena Test Procházková,F,2019-02-11,-1,-1,False,False
4064,4064,Gabriela Test Kopecká,F,2021-03-08,92,92,True,False
3724,3724,Zuzana Test Zábranská,F,2020-10-08,56,-1,True,False
3022,3022,Marcela Test Mrázková,F,2020-09-27,51,-1,True,False
2301,2301,Štěpán Test Hajný,M,2020-12-20,39,-1,True,False
3802,3802,Andrea Test Křížová,F,2020-11-10,113,-1,True,False
889,889,Radek Test Toman,M,2020-09-13,115,-1,True,False
3605,3605,Veronika Test Procházková,F,2022-01-27,56,-1,True,False
3996,3996,Eliška Test Pospíšilová,F,2020-06-08,137,-1,True,False
3978,3978,Dominika Test Martínková,F,2019-06-07,-1,-1,False,False
3674,3674,Zdeňka Test Králová,F,2019-09-25,109,-1,True,False
2350,2350,Anna Test Mrázková,F,2021-03-21,122,26,True,False
1545,1545,Juraj Test Němec,M,2021-01-24,132,-1,True,False
3170,3170,Natálie Test Novotná,F,2021-05-05,16,-1,True,False
1483,1483,Vladimír Test Mareček,M,2021-08-20,88,-1,True,True
1376,1376,Richard Test Polák,M,2021-01-24,27,-1,True,False
284,284,Michal Test Mach,M,2020-12-15,69,33,True,False
403,403,David Test Bílý,M,2019-05-31,-1,-1,False,False
591,591,Ondřej Test Fiala,M,2022-06-28,65,-1,True,False
1505,1505,Štefan Test Růžička,M,2019-07-23,-1,-1,False,False
2328,2328,Anna Test Šimková,F,2017-10-30,-1,-1,False,False
4409,4409,Květoslava Test Stará,F,2021-03-23,29,-1,True,False
2329,2329,Anna Test Hlaváčková,F,2021-08-08,138,-1,True,False
2188,2188,Josef Test Kratochvíl,M,2021-01-13,122,-1,True,False
3682,3682,Zdeňka Test Vlčková,F,2021-05-06,85,-1,True,True
3456,3456,Simona Test Nováková,F,2021-08-18,46,-1,True,False
93,93,Petr Test Hajný,M,2020-09-26,107,-1,True,False
3401,3401,Petra Test Stará,F,2020-10-25,14,-1,True,False
1525,1525,Štefan Test Pekař,M,2021-12-18,136,-1,True,False
1787,1787,Samuel Test Marek,M,2022-03-18,104,-1,True,False
4306,4306,Vladislava Test Vlčková,F,2021-12-02,106,-1,True,False
2283,2283,Štěpán Test Vlček,M,2021-01-13,32,-1,True,False
1046,1046,Milan Test Smetana,M,2019-03-16,-1,-1,False,False
273,273,Michal Test Janda,M,2022-01-24,38,-1,True,False
1965,1965,Vladimír Test Hajný,M,2020-11-21,91,-1,True,False
856,856,Josef Test Martínek,M,2020-03-05,120,-1,True,False
602,602,Ondřej Test Konečný,M,2020-09-02,132,-1,True,False
528,528,Jakub Test Novák,M,2020-11-09,15,-1,True,False
3003,3003,Marcela Test Vondráčková,F,2021-03-02,109,-1,True,False
4169,4169,Kamila Test Stará,F,2017-12-25,-1,-1,False,False
4280,4280,Vladislava Test Horáková,F,2019-09-30,100,-1,True,False
188,188,Jiří Test Mach,M,2022-03-24,59,-1,True,False
4550,4550,Nela Test Kočová,F,2021-08-09,80,-1,True,False
1066,1066,Ján Test Pospíšil,M,2021-09-10,118,-1,True,False
2297,2297,Štěpán Test Málek,M,2019-11-28,46,-1,True,False
2527,2527,Hana Test Benešová,F,2021-10-02,110,-1,True,False
3566,3566,Tereza Test Růžičková,F,2020-09-11,2,-1,True,False
1490,1490,Štefan Test Novotný,M,2020-12-27,0,-1,True,False
994,994,Aleš Test Dušek,M,2022-08-07,133,-1,True,False
2566,2566,Helena Test Hájková,F,2022-08-10,105,-1,True,False
1297,1297,Miroslav Test Svoboda,M,2021-07-05,28,-1,True,False
2499,2499,Hana Test Dvořáková,F,2022-05-17,68,-1,True,False
1003,1003,Aleš Test Mareček,M,2020-11-27,88,-1,True,False
2357,2357,Barbora Test Procházková,F,2021-06-16,26,-1,True,False
848,848,Josef Test Polák,M,2021-06-19,132,-1,True,False
3289,3289,Patricia Test Hlaváčková,F,2021-11-09,4,-1,True,False
1622,1622,Patrik Test Smetana,M,2018-11-28,-1,-1,False,False
511,511,Adam Test Horváth,M,2019-08-07,-1,-1,False,True
4011,4011,Eliška Test Vondráčková,F,2021-11-01,14,-1,True,False
3103,3103,Michaela Test Benešová,F,2020-02-28,132,-1,True,False
3573,3573,Tereza Test Urbanová,F,2018-12-01,-1,-1,False,False
588,588,Ondřej Test Urban,M,2020-03-30,18,18,True,False
1555,1555,Juraj Test Bílý,M,2020-02-29,76,-1,True,False
